implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI root-in block-x cusparse CU,CSR,ASIC_680ks.mtx,682712,682712,2329176,2,7.997367000e-05,9.780857740e-07,58.248571061,1.642560000e-05,4.268031955e-05,1.140104326e+00,5.272189528e-02,2.799869000e-03,1,3.744061245e-02
MPI root-in block-x cusparse CU,CSR,eu-2005.mtx,862664,862664,19235140,2,2.127518600e-04,1.003099586e-05,180.822296924,5.687502000e-05,1.424281582e-04,4.497000729e+00,6.726758014e-01,1.518746800e-02,1,5.781650543e-06
MPI root-in block-x cusparse CU,CSR,Si41Ge41H72.mtx,185639,185639,15011265,2,1.485866800e-04,1.562228946e-06,202.053979536,2.577476000e-05,1.045811182e-04,4.073027741e+00,4.827378107e-01,1.249787600e-02,1,7.605211852e-06
MPI root-in block-x cusparse CU,CSR,Rucci1.mtx,1977885,109900,7791168,2,1.346052500e-04,3.048141500e-06,115.763211316,2.648048000e-05,8.734719977e-05,4.020779627e+00,1.019040570e+00,6.571099000e-03,1,2.610918273e-07
MPI root-in block-x cusparse CU,CSR,FullChip.mtx,2987012,2987012,26621990,2,6.673358900e-04,7.466907971e-05,79.785878143,4.220122900e-04,2.762649572e-04,1.297727129e+01,2.591101897e+00,2.569628900e-02,1,1.251503418e-04
MPI root-in block-x cusparse CU,CSR,rajat31.mtx,4690002,4690002,20316253,2,2.474885500e-04,2.613038493e-06,164.179336781,1.590470000e-05,2.095615996e-04,1.017460050e+01,4.006457342e-01,1.605680200e-02,1,2.777576447e-04
MPI root-in repl-x cusparse CUD,CSR,ldoor.mtx,952203,952203,46522475,2,3.015652800e-04,1.493348453e-06,308.539995055,0.000000000e+00,2.918707126e-04,1.172788051e+01,3.687617491e-01,2.961986800e-02,0,9.739586815e+00
MPI root-in repl-x cusparse CUD,CSR,webbase-1M.mtx,1000005,1000005,3105536,2,6.051398000e-05,1.020238835e-06,102.638629950,0.000000000e+00,5.112831879e-05,1.343250614e+00,3.294262878e-02,5.751490000e-03,1,5.066394806e-07
MPI root-in repl-x cusparse CUD,CSR,bone010.mtx,986703,986703,71666325,2,4.279814300e-04,9.458761149e-07,334.903899919,0.000000000e+00,4.181708756e-04,1.515565835e+01,5.061488809e-01,4.694039500e-02,0,5.862026566e-03
MPI root-in repl-x cusparse CUD,CSR,boyd2.mtx,466316,466316,1500397,2,4.564680000e-05,8.849986781e-07,65.739416563,0.000000000e+00,3.628032107e-05,3.160141900e-01,1.292004081e-02,5.018418000e-03,1,4.365163746e+02
MPI root-in repl-x cusparse CUD,CSR,ASIC_680ks.mtx,682712,682712,2329176,2,5.294633000e-05,9.667306558e-07,87.982528723,0.000000000e+00,4.345855981e-05,1.138223278e+00,2.041933216e-02,5.333840000e-03,1,5.070871004e-02
MPI root-in repl-x cusparse CUD,CSR,eu-2005.mtx,862664,862664,19235140,2,1.493651400e-04,6.531627668e-07,257.558624456,0.000000000e+00,1.398783986e-04,4.493865965e+00,1.958105983e-01,1.329007300e-02,1,4.827976227e-06
MPI root-in repl-x cusparse CUD,CSR,Si41Ge41H72.mtx,185639,185639,15011265,2,1.162687000e-04,1.219446034e-06,258.216785773,0.000000000e+00,1.067622389e-04,4.064328382e+00,1.341204330e-01,1.358696400e-02,1,7.028219152e-06
