implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,input_total_s,input_read_parse_s,input_file_io_s,input_parse_s,matrix_validation_s,matrix_redistribution_s,matrix_pack_s,matrix_exchange_s,matrix_source_nnz,matrix_remote_nnz,matrix_remote_fraction,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI mpi-io-in repl-x adaptive C,CSR,rmat_26.mtx,67108864,67108864,603978557,4,1.822662800e-02,1.201222678e-03,66.274305593,0.000000000e+00,1.821726723e-02,1.243680203e+02,1.243680206e+02,1.214206272e+02,9.867596884e+01,2.274465634e+01,5.901547000e-02,2.898067140e+00,1.591794936e+00,1.306272204e+00,603978557,452986391,7.500040949e-01,9.734104920e+00,2.313670810e-01,1,1.083016396e-04
MPI mpi-io-in repl-x adaptive C,CSR,rmat_22.mtx,4194304,4194304,37748204,4,5.024524000e-04,7.669408375e-07,150.255841148,0.000000000e+00,4.925439954e-04,7.043073859e+00,7.043074093e+00,6.852937031e+00,5.463908722e+00,1.389027593e+00,2.620217400e-02,1.866369590e-01,1.014446770e-01,8.519228200e-02,37748204,28310034,7.499703562e-01,4.014417395e-01,1.771312200e-02,1,7.343292236e-05
MPI mpi-io-in 1d-random-x adapt,CSR,webbase-1M.mtx,1000005,1000005,3105536,4,2.550984800e-04,6.783880550e-05,24.347742096,1.941859000e-04,4.079615891e-05,1.593578825e+00,1.593579079e+00,1.559460075e+00,1.119539575e+00,4.399198070e-01,9.043670000e-03,3.371097700e-02,2.110802200e-02,1.260295500e-02,3105536,2334382,7.516840893e-01,3.021814581e-01,3.198715000e-03,1,2.022539686e-06
MPI mpi-io-in 1d-random-x adapt,CSR,bone010.mtx,986703,986703,71666325,4,2.816909640e-03,4.318716152e-04,50.882942060,2.458285040e-03,3.352166331e-04,1.681141185e+01,1.681141239e+01,1.619687033e+01,1.114125958e+01,5.055608973e+00,7.503117300e-02,6.075639560e-01,4.326293830e-01,1.749345730e-01,71666325,53764698,7.502086649e-01,8.480017272e+00,2.733794600e-02,0,1.655946069e-02
MPI mpi-io-in 1d-random-x adapt,CSR,eu-2005.mtx,862664,862664,19235140,4,1.561702440e-03,2.453544875e-04,24.633553111,1.412140500e-03,1.234739172e-04,6.126633265e+00,6.126633367e+00,5.961879267e+00,4.628813161e+00,1.333065341e+00,3.536991100e-02,1.618725850e-01,1.141358290e-01,4.773675600e-02,19235140,14438723,7.506429899e-01,2.064852697e+00,1.031999400e-02,1,2.056360245e-05
MPI mpi-io-in 1d-random-x adapt,CSR,Si41Ge41H72.mtx,185639,185639,15011265,4,5.933345600e-04,1.046287940e-04,50.599665052,4.801988200e-04,9.082880095e-05,5.374221808e+00,5.374222084e+00,5.247384788e+00,3.930616025e+00,1.316767962e+00,1.505864700e-02,1.266887140e-01,9.028303000e-02,3.640568400e-02,15011265,11286891,7.518947271e-01,1.608048398e+00,6.735707000e-03,1,2.854216668e-05
MPI mpi-io-in 1d-random-x adapt,CSR,FullChip.mtx,2987012,2987012,26621990,4,6.777798200e-03,1.629865577e-03,7.855645510,6.570102800e-03,1.835417604e-04,1.535863737e+01,1.535863747e+01,1.512230221e+01,1.077606694e+01,4.346234519e+00,1.616189410e-01,2.332314280e-01,1.624693700e-01,7.076205800e-02,26621990,19706759,7.402436482e-01,3.511238359e+00,2.116670400e-02,1,4.810702203e-04
MPI mpi-io-in 1d-random-x adapt,CSR,rajat31.mtx,4690002,4690002,20316253,4,7.937795220e-03,9.727909861e-04,5.118865488,7.772571140e-03,1.249075207e-04,1.345526329e+01,1.345526357e+01,1.327945139e+01,9.926463549e+00,3.352986831e+00,1.016551660e-01,1.743167820e-01,1.276616130e-01,4.665516900e-02,20316253,15235874,7.499352366e-01,2.329668464e+00,2.183113000e-02,1,6.988048553e-04
MPI mpi-io-in 1d-random-x adapt,CSR,webbase-2001.mtx,118142155,118142155,1019903190,4,1.919376633e-01,9.451972569e-03,10.627441975,1.866988824e-01,4.441415758e-03,3.665335095e+02,3.665335098e+02,3.577391559e+02,2.803639767e+02,7.737517842e+01,4.400713562e+00,8.740491488e+00,6.226082174e+00,2.514409314e+00,1019903190,764885241,7.499586711e-01,1.444139939e+02,7.225278630e-01,1,5.072355270e-05
MPI mpi-io-in 1d-random-x adapt,CSR,nlpkkt240.mtx,27993600,27993600,774472352,4,1.090131867e-01,8.236155392e-03,14.208782911,1.056531713e-01,3.021127696e-03,1.754738361e+02,1.754738365e+02,1.688554019e+02,1.202456158e+02,4.860978425e+01,9.225524660e-01,6.567378821e+00,4.897888672e+00,1.669490149e+00,774472352,580900046,7.500591138e-01,1.085725910e+02,3.650482060e-01,1,1.153945923e-04
MPI mpi-io-in 1d-random-x adapt,CSR,rmat_24.mtx,16777216,16777216,150994124,4,1.386273454e-02,1.059857091e-03,21.784175923,1.194813620e-02,1.827614715e-03,2.339752610e+01,2.339752634e+01,2.212751400e+01,1.642309981e+01,5.704410265e+00,1.541387300e-02,1.259403888e+00,9.250663710e-01,3.343375170e-01,150994124,113248575,7.500197491e-01,2.810154113e+01,8.326299300e-02,1,8.934736252e-05
MPI mpi-io-in 1d-random-x adapt,CSR,rmat_26.mtx,67108864,67108864,603978557,4,6.418640944e-02,2.602800934e-03,18.819515292,5.072415482e-02,1.314238462e-02,1.073488971e+02,1.073488974e+02,1.022915380e+02,7.931067318e+01,2.298086239e+01,4.573018200e-02,5.003631735e+00,3.699680286e+00,1.303951449e+00,603978557,452989360,7.500090107e-01,1.339770075e+02,3.150539240e-01,1,1.732707024e-04
MPI mpi-io-in 1d-random-x adapt,CSR,rmat_22.mtx,4194304,4194304,37748204,4,3.096810520e-03,3.217739550e-04,24.378762444,2.600420600e-03,4.711014402e-04,5.852159633e+00,5.852160105e+00,5.535986228e+00,4.129849948e+00,1.406135113e+00,1.920800000e-02,3.129600600e-01,2.265108580e-01,8.644920200e-02,37748204,28317061,7.501565108e-01,5.814438702e+00,2.374458700e-02,1,7.343292236e-05
MPI mpi-io-in 1d-gp-x adaptive CUDA-aware MPI,CSR,webbase-1M.mtx,1000005,1000005,3105536,4,9.429240000e-05,3.113702446e-06,65.870335255,3.699616000e-05,4.009983867e-05,1.540706095e+00,4.191732164e+00,1.511318828e+00,1.073016158e+00,4.383011790e-01,8.366022000e-03,2.806202200e-02,1.301317500e-02,1.504884700e-02,3105536,2275232,7.326374578e-01,6.718140314e-02,2.771899000e-03,1,2.022539686e-06
MPI mpi-io-in 1d-gp-x adaptive CUDA-aware MPI,CSR,bone010.mtx,986703,986703,71666325,4,3.650139200e-04,5.688950743e-06,392.677216255,3.836042000e-05,3.097395211e-04,1.555741840e+01,4.914694368e+01,1.513705732e+01,1.014130133e+01,4.995753646e+00,6.936195700e-02,4.130303370e-01,2.692234830e-01,1.438068540e-01,71666325,27968632,3.902618419e-01,5.226852787e-01,2.335133800e-02,0,1.655946069e-02
